CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES
LLVA56991,"GREATER SCAPE'S GROUND MANAGEMENT, LLC",HENRICO,VA,23075,Other (provide detail in column to the right),Landscaping,,
LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018,,,,
LLVA57784,"GIGI'S NEXT STEP CHILD CARE CENTER, LLC",SOUTH CHESTERFIELD,VA,23803,Other (provide detail in column to the right),Child Care,,
LLVA58364,MERRYMAN GROUNDS MAINT INC.,HAMPTON,VA,23661,Other (provide detail in column to the right),Landscaping,,
LLVA58376,"CONTINENTAL HOME HEALTH CARE, LLC,",RICHMOND,VA,23294,Healthcare/Medicine,,,
LLVA58425,"THE BULLER GROUP, LLC",RESTON,VA,20191,Other (provide detail in column to the right),Staffing,,
LLVA58848,TIG DELIVERY,CHESAPEAKE,VA,23323,Transportation,,,
LLVA58899,SUPERIOR LANDSCAPING,MECHANICSVILLE,VA,23116,Other (provide detail in column to the right),Landscaping,,
LLVA58900,J TIGER MARTIAL ARTS,FREDERICKSBURG,VA,22407,,,,
LLVA58906,"GRAPHIC MEMORY INTERNET SERVICES, INC",HAMPTON,VA,23669,Other (provide detail in column to the right),Web Design,,
LLVA58924,"WILLIAM TRIBBLE DBA FRANKLIN STREET MARKET, LLC",RICHMOND,VA,23223,Restaurant,,,
LLVA58927,"CONTINENTAL HOME HEALTH CARE, LLC,",RICHMOND,VA,23294,Restaurant,,,
LLVA58930,ADVANTAGE SALES & MARKETING LLC,MAGNOLIA,NJ,8049,Other (provide detail in column to the right),Marketing,,
LLVA58935,CAPITAL AVIATION,MANASSAS,VA,20110,,,,
LLVA58952,MASSAGE ELEMENTS OF HOT STONES,FREDERICKSBURG,VA,22407,,,,
LLVA58953,OXYGEN MARKETING & MANAGEMENT,SANDSTON,VA,23150,Other (provide detail in column to the right),Marketing,,
LLVA58954,SHIRLIE SLACK MITSUBISHI,FREDERICKSBURG,VA,22408,Retail,,,
LLVA58994,"SOUTHERN COMMERICAL DEVELOPMENT, LLC",CHESAPEAKE,VA,23328,Contracting/Construction,,,
LLVA58995,KMART,ABINGDON,VA,24210,Retail,,,
