,claimID,employer,employercity,employerstate,employerzip,gender,hispanic,asian,claim_amount,case_open,valid,invalid,verified_claim,case_close,first_response,formal_investigate,wage_order,total_rec,wage_rec,duration,CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES,City,Region
0,LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018.0,female,False,False,1275.5,2014-09-08,True,False,1272.99,2015-01-22,False,False,True,1644.67,1233.5,136,LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",ROANOKE,VA,24018.0,,,,,ROANOKE,West Central
1,LLVA59239,PATRIOT DRUG AND DNA TESTING,ROANOKE,VA,24019.0,female,False,False,229.5,2016-03-03,False,False,0.0,2016-03-08,False,False,False,0.0,0.0,5,LLVA59239,PATRIOT DRUG AND DNA TESTING,ROANOKE,VA,24019.0,,,,,ROANOKE,West Central
2,LLVA59312,AMERICAN ENTERPRISE SOLUTIONS,ROANOKE,VA,24018.0,male,False,False,332.55,2016-03-09,True,False,332.55,2016-03-30,False,True,False,0.0,0.0,21,LLVA59312,AMERICAN ENTERPRISE SOLUTIONS,ROANOKE,VA,24018.0,,,,,ROANOKE,West Central
3,LLVA59373,FIRST BAPTIST CHURCH OF ROANOKE,ROANOKE,VA,24016.0,male,True,False,14000.0,2016-03-24,False,False,0.0,2016-05-05,False,False,False,0.0,0.0,42,LLVA59373,FIRST BAPTIST CHURCH OF ROANOKE,ROANOKE,VA,24016.0,,,,,ROANOKE,West Central
4,LLVA59417,OLD DOMINION EYE FOUNDATION,ROANOKE,VA,24019.0,female,False,False,0.0,2016-04-01,False,False,0.0,2016-04-01,False,False,False,0.0,0.0,0,LLVA59417,OLD DOMINION EYE FOUNDATION,ROANOKE,VA,24019.0,Healthcare/Medicine,,,,ROANOKE,West Central
5,LLVA59458,BEST VAPES VALLEY VIEW MALL,ROANOKE,VA,24017.0,male,False,False,200.0,2016-04-19,False,False,71.79,2016-05-19,False,False,False,0.0,0.0,30,LLVA59458,BEST VAPES VALLEY VIEW MALL,ROANOKE,VA,24017.0,Retail,,,,ROANOKE,West Central
6,LLVA59479,KFC,ROANOKE,VA,24018.0,male,False,False,80.0,2016-04-19,True,False,80.0,2016-05-06,True,False,False,0.0,0.0,17,LLVA59479,KFC,ROANOKE,VA,24018.0,Restaurant,,,,ROANOKE,West Central
7,LLVA59595,WILDFLOUR BAKERY AND RESTAURANT,ROANOKE,VA,24016.0,female,False,False,856.75,2016-05-17,False,False,0.0,2016-05-17,False,False,False,0.0,0.0,0,LLVA59595,WILDFLOUR BAKERY AND RESTAURANT,ROANOKE,VA,24016.0,Restaurant,,,,ROANOKE,West Central
8,LLVA59679,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017.0,male,False,False,1218.0,2016-06-01,False,False,0.0,2016-09-20,False,False,False,0.0,0.0,111,LLVA59679,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017.0,,,,,ROANOKE,West Central
9,LLVA59721,GOLD'S GYM ROANOKE 419-CAVE SPRING CORNERS,ROANOKE,VA,24018.0,male,False,False,381.4,2016-06-15,False,False,381.4,2016-06-27,False,False,False,0.0,0.0,12,LLVA59721,GOLD'S GYM ROANOKE 419-CAVE SPRING CORNERS,ROANOKE,VA,24018.0,,,,,ROANOKE,West Central
10,LLVA59761,ACQYRO,ROANOKE,VA,24018.0,male,False,False,1351.9,2016-06-17,False,False,0.0,2016-06-17,False,False,False,0.0,0.0,0,LLVA59761,ACQYRO,ROANOKE,VA,24018.0,,,,,ROANOKE,West Central
11,LLVA59764,ROANOKE RESOURCE LLC,ROANOKE,VA,24016.0,,False,False,4655.0,2016-06-23,False,False,0.0,2016-06-29,False,False,False,0.0,0.0,6,LLVA59764,ROANOKE RESOURCE LLC,ROANOKE,VA,24016.0,,,,,ROANOKE,West Central
12,LLVA59801,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017.0,male,False,False,1218.0,2016-06-27,True,False,1315.44,2016-09-09,False,True,False,0.0,0.0,74,LLVA59801,"SOUTHWEST VIRGINIA JANITOR & SUPPLY, LTD",ROANOKE,VA,24017.0,,,,,ROANOKE,West Central
